CODPROD_PA;DESCRICAO_PA;MIN;MAX;MEDIA;DENSIDADE_FORMULA;QUANTIDADE;PADRAO_LAUDO;CODPROD_SA;DESCRICAO_SA;PESO_FORMULA;LITRAGEM
275;"RESINA ACR BA KOKAR 3,6L BRANCO NEVE";1,028;1,028;1,028;1,060;1;"1,03 - 1,08 G/CM³";3,816;3,6;647;"RESINA ACR BA KOKAR BRANCO NEVE - SA"
1652;"FUNDO E ACABAMENTO 3,6L AZUL FRANCA";1,046;1,080;1,058;1,060;6;1,05-1,10;3,816;3,6;1551;"FUNDO E ACABAMENTO AZUL FRANCA - SA"
1172;"PREMIUM ACET SEDA 18L AREIA";1,158;1,161;1,160;1,160;2;"1,15 - 1,18 (G/CM³)";20,880;18,0;1170;"PREMIUM ACET SEDA AREIA - SA"
1651;"FUNDO E ACABAMENTO 3,6L BRANCO";1,074;1,092;1,082;1,100;3;1,05-1,10;3,960;3,6;1552;"FUNDO E ACABAMENTO BRANCO - SA"
1621;"ESMALTE SINT FOSCO 3,6L PRETO";1,152;1,170;1,164;1,160;5;"1,15 - 1,20 (G/CM³)";4,176;3,6;1543;"ESMALTE SINT FOSCO PRETO - SA"
383;"TINTA PISO KOKAR 18L VERDE QUADRA";1,261;1,289;1,278;1,300;4;"1,25 - 1,30 (G/CM³)";23,400;18,0;725;"TINTA PISO KOKAR VERDE QUADRA - SA"
2851;"STANDARD FS 3,6L ARAPONGA";1,308;1,308;1,308;1,300;1;"1,28-1,32 G/CM³";4,680;3,6;2794;"STANDARD FS ARAPONGA - SA"
167;"PREMIUM ACET SEDA 18L ALGODAO DA TERRA";1,149;1,150;1,150;1,160;2;"1,10-1,15 (G/CM³)";20,880;18,0;525;"PREMIUM ACET SEDA ALGODAO DA TERRA - SA"
991;"FIT ACR FS ECONOMICO 16L PALHA";1,319;1,347;1,337;1,345;12;"1,33 - 1,37 G/CM³";21,520;16,0;983;"FIT ACR ECONOMICO  PALHA - SA"
3092;"PREMIUM FOSCO 18L TITANIO";1,230;1,256;1,242;1,300;3;1,21-1,26;23,400;18,0;3056;"PREMIUM FOSCO TITANIO - SA"
2877;"STANDARD FS 3,6L IPE ROSA";1,290;1,307;1,299;1,310;2;"1,32-1,37 G/CM3";4,716;3,6;2818;"STANDARD FS IPE ROSA - SA"
2768;"ECONOMICO FOSCO 3,6L MARSALLA";1,318;1,318;1,318;1,310;1;"1,32-1,37 G/CM3";4,716;3,6;2712;"ECONOMICO FOSCO MARSALLA  - SA"
2;"MASSA CORRIDA PVA KOKAR 5,5KG";1,733;1,743;1,738;1,680;2;"1,70-1,75 ( G/CM³)";5,500;3,3;476;"MASSA CORRIDA PVA KOKAR - SA"
3;"MASSA CORRIDA PVA KOKAR 27KG";1,710;1,747;1,729;1,688;2;"1,70-1,75 ( G/CM³)";27,000;16,0;476;"MASSA CORRIDA PVA KOKAR - SA"
1620;"ESMALTE SINT FOSCO 3,6L BRANCO NEVE";1,000;1,201;1,129;1,210;3;"1,18 - 1,23 (G/CM³)";4,357;3,6;1545;"ESMALTE SINT FOSCO BRANCO NEVE - SA"
1655;"SELADORA CONCENTRADA P MADEIRA 3,6L";0,914;0,950;0,936;0,940;6;"0,90 - 0,95 G/CM³";3,384;3,6;1555;"SELADORA CONCENTRADA PARA MADEIRA - SA"
42;"ECONOMICO FOSCO 3,6L BRANCO GELO";1,334;1,345;1,340;1,350;9;"1,32-1,37 (G/CM³)";4,860;3,6;632;"ECONOMICO FOSCO  BRANCO GELO - SA"
1576;"ESMALTE SINT BRILHANTE 3,6L CINZA MEDIO";0,950;0,981;0,967;1,000;13;"0,94 - 1,00 (G/CM³)";3,600;3,6;1527;"ESMALTE SINT BRILHANTE CINZA MEDIO - SA"
381;"TINTA PISO KOKAR 18L LARANJA";1,326;1,348;1,335;1,330;3;"1,28 - 1,33 (G/CM³)";23,940;18,0;723;"TINTA PISO KOKAR LARANJA - SA"
